scenario	sample	repetition	exit_code	real_seconds	user_seconds	system_seconds	max_rss_raw	log
python-unit	cold	1	0	0.04	0.03	0.00	unknown	docs/technology-transfer/scrapling-baseline-2026-07-23/evidence-final/logs/python-unit-cold-1.log
targeted-vitest	cold	1	0	1.62	2.07	0.39	unknown	docs/technology-transfer/scrapling-baseline-2026-07-23/evidence-final/logs/targeted-vitest-cold-1.log
typescript-typecheck	cold	1	0	5.60	8.36	0.55	unknown	docs/technology-transfer/scrapling-baseline-2026-07-23/evidence-final/logs/typescript-typecheck-cold-1.log
python-unit	warm	2	0	0.08	0.05	0.01	unknown	docs/technology-transfer/scrapling-baseline-2026-07-23/evidence-final/logs/python-unit-warm-2.log
targeted-vitest	warm	2	0	1.54	1.95	0.39	unknown	docs/technology-transfer/scrapling-baseline-2026-07-23/evidence-final/logs/targeted-vitest-warm-2.log
typescript-typecheck	warm	2	0	5.53	8.28	0.54	unknown	docs/technology-transfer/scrapling-baseline-2026-07-23/evidence-final/logs/typescript-typecheck-warm-2.log
python-unit	warm	3	0	0.05	0.04	0.00	unknown	docs/technology-transfer/scrapling-baseline-2026-07-23/evidence-final/logs/python-unit-warm-3.log
targeted-vitest	warm	3	0	1.59	2.00	0.41	unknown	docs/technology-transfer/scrapling-baseline-2026-07-23/evidence-final/logs/targeted-vitest-warm-3.log
typescript-typecheck	warm	3	0	5.52	8.15	0.56	unknown	docs/technology-transfer/scrapling-baseline-2026-07-23/evidence-final/logs/typescript-typecheck-warm-3.log
python-unit	warm	4	0	0.04	0.03	0.00	unknown	docs/technology-transfer/scrapling-baseline-2026-07-23/evidence-final/logs/python-unit-warm-4.log
targeted-vitest	warm	4	0	1.53	2.07	0.40	unknown	docs/technology-transfer/scrapling-baseline-2026-07-23/evidence-final/logs/targeted-vitest-warm-4.log
typescript-typecheck	warm	4	0	5.55	8.24	0.55	unknown	docs/technology-transfer/scrapling-baseline-2026-07-23/evidence-final/logs/typescript-typecheck-warm-4.log
python-unit	warm	5	0	0.06	0.04	0.01	unknown	docs/technology-transfer/scrapling-baseline-2026-07-23/evidence-final/logs/python-unit-warm-5.log
targeted-vitest	warm	5	0	1.83	2.04	0.41	unknown	docs/technology-transfer/scrapling-baseline-2026-07-23/evidence-final/logs/targeted-vitest-warm-5.log
typescript-typecheck	warm	5	0	5.56	8.23	0.58	unknown	docs/technology-transfer/scrapling-baseline-2026-07-23/evidence-final/logs/typescript-typecheck-warm-5.log
scenario-benchmark	combined	1	0	3.06	2.77	0.42		docs/technology-transfer/scrapling-baseline-2026-07-23/evidence-final/logs/scenario-benchmark.log
